date,time_idx,close,volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,return_1d,rolling_volatility,unique_id,daily_sentiment,post_count,spike_presence,spike_intensity,has_sentiment,daily_sentiment_mean_3,daily_sentiment_std_3,daily_sentiment_mean_7,daily_sentiment_std_7,daily_sentiment_mean_14,daily_sentiment_std_14,has_spike
4/23/25,55,102.6970749,247526000,2025-02-26 16:20:00-05:00,55,4,2,2,2025,0,0,0.038628777,0.069068193,NVDA,,0,0,0,0,0.556799531,0.313390057,0.778399765,0.313390057,0.360773241,0.820540506,0
4/24/25,56,106.4166031,220815000,2025-02-26 16:20:00-05:00,56,4,3,2,2025,0,0,0.036218443,0.066215158,NVDA,,0,0,0,0,0.556799531,0.313390057,0.778399765,0.313390057,0.205584581,0.858579542,0
4/25/25,57,110.9960403,251064700,2025-02-26 16:20:00-05:00,57,4,4,2,2025,0,0,0.043033109,0.062802019,NVDA,,0,0,0,0,0.556799531,0.313390057,0.556799531,0.313390057,0.205584581,0.858579542,0
4/28/25,58,108.7163162,207708500,2025-02-26 16:20:00-05:00,60,4,0,2,2025,0,0,-0.020538788,0.06307912,NVDA,,0,0,0,0,0.556799531,0.313390057,0.556799531,0.313390057,0.205584581,0.858579542,0
4/29/25,59,109.006279,170444300,2025-02-26 16:20:00-05:00,61,4,1,2,2025,0,0,0.00266715,0.062767251,NVDA,,0,0,0,0,0.556799531,0.313390057,0.556799531,0.313390057,0.185599844,1.050400831,0
4/30/25,60,108.9062958,235044600,2025-02-26 16:20:00-05:00,62,4,2,2,2025,1,0,-0.000917224,0.036827447,NVDA,,0,0,0,0,0.556799531,0.313390057,0.556799531,0.313390057,0.185599844,1.050400831,0
5/1/25,61,111.5959549,236121500,2025-02-26 16:20:00-05:00,63,5,3,2,2025,0,1,0.024697003,0.033645004,NVDA,1,1,0,0,1,0.556799531,0.313390057,0.556799531,0.313390057,0.778399765,0.313390057,1
5/2/25,62,114.4855957,190194800,2025-02-26 16:20:00-05:00,64,5,4,2,2025,0,0,0.025893777,0.033331069,NVDA,,0,0,0,0,1,0.313390057,1,0.313390057,0.85226651,0.25588191,0
5/5/25,63,113.8056793,133163200,2025-02-26 16:20:00-05:00,67,5,0,2,2025,0,0,-0.005938881,0.033391338,NVDA,0.855302006,2,0,0,1,1,0.313390057,1,0.313390057,0.85226651,0.25588191,1
5/6/25,64,113.5257187,158525600,2025-02-26 16:20:00-05:00,68,5,1,2,2025,0,0,-0.002459988,0.033260449,NVDA,-1,1,0,0,1,0.927651003,0.102316933,0.927651003,0.102316933,0.804033846,0.226004385,1
