date,open,high,low,close,volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,rolling_volatility,return_1d,cumulative_return,time_idx,unique_id
6/22/23,250.7700043,265,248.25,264.6099854,166875900,2023-04-19 16:07:00-04:00,63,6,3,2,2023,0,0,10.92705372,0.019848894,166.1426953,231,TSLA
6/23/23,259.2900085,262.4500122,252.8000031,256.6000061,177460800,2023-04-19 16:07:00-04:00,64,6,4,2,2023,0,0,8.046799433,-0.030270888,161.1134084,232,TSLA
6/26/23,250.0700073,258.3699951,240.6999969,241.0500031,179990600,2023-04-19 16:07:00-04:00,67,6,0,2,2023,0,0,8.723169084,-0.060600166,151.349909,233,TSLA
6/27/23,243.2400055,250.3899994,240.8500061,250.2100067,164968200,2023-04-19 16:07:00-04:00,68,6,1,2,2023,0,0,8.685366726,0.03800043,157.1012706,234,TSLA
6/28/23,249.6999969,259.8800049,248.8899994,256.2399902,159770800,2023-04-19 16:07:00-04:00,69,6,2,2,2023,0,0,8.692742156,0.02409969,160.8873624,235,TSLA
6/29/23,258.0299988,260.7399902,253.6100006,257.5,131283400,2023-04-19 16:07:00-04:00,70,6,3,2,2023,0,0,8.688425887,0.004917303,161.6784944,236,TSLA
6/30/23,260.6000061,264.4500122,259.8900146,261.769989,112620800,2023-04-19 16:07:00-04:00,71,6,4,2,2023,1,0,8.754645537,0.016582482,164.3595251,237,TSLA
7/3/23,276.4899902,284.25,275.1099854,279.8200073,119685900,2023-04-19 16:07:00-04:00,74,7,0,3,2023,0,0,11.12011968,0.068953734,175.6927281,238,TSLA
7/5/23,278.8200073,283.8500061,277.6000061,282.480011,131530900,2023-04-19 16:07:00-04:00,76,7,2,3,2023,0,0,12.47338172,0.009506124,177.362885,239,TSLA
7/6/23,278.0899963,279.9700012,272.8800049,276.5400085,120332100,2023-04-19 16:07:00-04:00,77,7,3,3,2023,0,0,13.37951585,-0.021028045,173.6332902,240,TSLA
7/7/23,278.4299927,280.7799988,273.769989,274.4299927,113879200,2023-04-19 16:07:00-04:00,78,7,4,3,2023,0,0,13.88747611,-0.007630056,172.3084584,241,TSLA
7/10/23,276.4700012,277.519989,265.1000061,269.6099854,119425400,2023-04-19 16:07:00-04:00,81,7,0,3,2023,0,0,13.76100235,-0.017563705,169.2820835,242,TSLA
7/11/23,268.6499939,270.8999939,266.3699951,269.7900085,91972400,2023-04-19 16:07:00-04:00,82,7,1,3,2023,0,0,10.91910428,0.000667717,169.3951161,243,TSLA
